t,x,xd,xdd,
2.11,0.0867255,-0.0518837,-0.0867255,
2.12,0.0862067,-0.052751,-0.0862067,
2.13,0.0856791,-0.053613,-0.0856791,
2.14,0.085143,-0.0544698,-0.085143,
2.15,0.0845983,-0.0553213,-0.0845983,
2.16,0.0840451,-0.0561672,-0.0840451,
2.17,0.0834834,-0.0570077,-0.0834834,
2.18,0.0829134,-0.0578425,-0.0829134,
2.19,0.0823349,-0.0586717,-0.0823349,
2.2,0.0817482,-0.059495,-0.0817482,
2.21,0.0811533,-0.0603125,-0.0811533,
2.22,0.0805501,-0.061124,-0.0805501,
2.23,0.0799389,-0.0619295,-0.0799389,
2.24,0.0793196,-0.0627289,-0.0793196,
2.25,0.0786923,-0.0635221,-0.0786923,
2.26,0.0780571,-0.064309,-0.0780571,
2.27,0.077414,-0.0650896,-0.077414,
2.28,0.0767631,-0.0658637,-0.0767631,
2.29,0.0761045,-0.0666314,-0.0761045,
2.3,0.0754382,-0.0673924,-0.0754382,
2.31,0.0747642,-0.0681468,-0.0747642,
2.32,0.0740828,-0.0688944,-0.0740828,
2.33,0.0733938,-0.0696353,-0.0733938,
2.34,0.0726975,-0.0703692,-0.0726975,
2.35,0.0719938,-0.0710962,-0.0719938,
2.36,0.0712828,-0.0718161,-0.0712828,
2.37,0.0705647,-0.072529,-0.0705647,
2.38,0.0698394,-0.0732346,-0.0698394,
2.39,0.069107,-0.073933,-0.069107,
2.4,0.0683677,-0.0746241,-0.0683677,
2.41,0.0676214,-0.0753077,-0.0676214,
2.42,0.0668684,-0.075984,-0.0668684,
2.43,0.0661085,-0.0766526,-0.0661085,
2.44,0.065342,-0.0773137,-0.065342,
2.45,0.0645689,-0.0779671,-0.0645689,
2.46,0.0637892,-0.0786128,-0.0637892,
2.47,0.0630031,-0.0792507,-0.0630031,
2.48,0.0622106,-0.0798808,-0.0622106,
2.49,0.0614117,-0.0805029,-0.0614117,
2.5,0.0606067,-0.081117,-0.0606067,
2.51,0.0597956,-0.081723,-0.0597956,
2.52,0.0589783,-0.082321,-0.0589783,
2.53,0.0581551,-0.0829108,-0.0581551,
2.54,0.057326,-0.0834923,-0.057326,
2.55,0.0564911,-0.0840656,-0.0564911,
2.56,0.0556504,-0.0846305,-0.0556504,
2.57,0.0548041,-0.085187,-0.0548041,
2.58,0.0539522,-0.085735,-0.0539522,
2.59,0.0530949,-0.0862746,-0.0530949,
2.6,0.0522322,-0.0868055,-0.0522322,
2.61,0.0513641,-0.0873278,-0.0513641,
2.62,0.0504908,-0.0878415,-0.0504908,
2.63,0.0496124,-0.0883464,-0.0496124,
2.64,0.0487289,-0.0888425,-0.0487289,
2.65,0.0478405,-0.0893298,-0.0478405,
2.66,0.0469472,-0.0898082,-0.0469472,
2.67,0.0460491,-0.0902777,-0.0460491,
2.68,0.0451464,-0.0907382,-0.0451464,
2.69,0.044239,-0.0911896,-0.044239,
2.7,0.0433271,-0.091632,-0.0433271,
2.71,0.0424108,-0.0920653,-0.0424108,
2.72,0.0414901,-0.0924894,-0.0414901,
2.73,0.0405652,-0.0929043,-0.0405652,
2.74,0.0396362,-0.09331,-0.0396362,
2.75,0.0387031,-0.0937063,-0.0387031,
2.76,0.037766,-0.0940934,-0.037766,
2.77,0.0368251,-0.094471,-0.0368251,
2.78,0.0358804,-0.0948393,-0.0358804,
2.79,0.034932,-0.0951981,-0.034932,
2.8,0.03398,-0.0955474,-0.03398,
2.81,0.0330245,-0.0958872,-0.0330245,
2.82,0.0320656,-0.0962174,-0.0320656,
2.83,0.0311035,-0.0965381,-0.0311035,
2.84,0.0301381,-0.0968491,-0.0301381,
2.85,0.0291696,-0.0971505,-0.0291696,
2.86,0.0281981,-0.0974422,-0.0281981,
2.87,0.0272237,-0.0977242,-0.0272237,
2.88,0.0262464,-0.0979964,-0.0262464,
2.89,0.0252665,-0.0982589,-0.0252665,
2.9,0.0242839,-0.0985115,-0.0242839,
2.91,0.0232988,-0.0987544,-0.0232988,
2.92,0.0223112,-0.0989874,-0.0223112,
2.93,0.0213213,-0.0992105,-0.0213213,
2.94,0.0203292,-0.0994237,-0.0203292,
2.95,0.019335,-0.099627,-0.019335,
2.96,0.0183387,-0.0998203,-0.0183387,
2.97,0.0173405,-0.100004,-0.0173405,
2.98,0.0163405,-0.100177,-0.0163405,
2.99,0.0153387,-0.100341,-0.0153387,
3,0.0143353,-0.100494,-0.0143353,
3.01,0.0133304,-0.100637,-0.0133304,
3.02,0.012324,-0.100771,-0.012324,
3.03,0.0113163,-0.100894,-0.0113163,
3.04,0.0103074,-0.101007,-0.0103074,
3.05,0.00929729,-0.10111,-0.00929729,
3.06,0.00828619,-0.101203,-0.00828619,
3.07,0.00727416,-0.101286,-0.00727416,
3.08,0.0062613,-0.101359,-0.0062613,
3.09,0.00524771,-0.101421,-0.00524771,
3.1,0.0042335,-0.101474,-0.0042335,
3.11,0.00321876,-0.101516,-0.00321876,
3.12,0.0022036,-0.101548,-0.0022036,
3.13,0.00118812,-0.10157,-0.00118812,
3.14,0.000172417,-0.101582,-0.000172417,
3.15,-0.000843405,-0.101584,0.000843405,
3.16,-0.00185924,-0.101575,0.00185924,
3.17,-0.002875,-0.101557,0.002875,
3.18,-0.00389057,-0.101528,0.00389057,
3.19,-0.00490585,-0.101489,0.00490585,
3.2,-0.00592074,-0.10144,0.00592074,
3.21,-0.00693514,-0.101381,0.00693514,
3.22,-0.00794895,-0.101312,0.00794895,
3.23,-0.00896207,-0.101232,0.00896207,
3.24,-0.00997439,-0.101142,0.00997439,
3.25,-0.0109858,-0.101043,0.0109858,
3.26,-0.0119962,-0.100933,0.0119962,
3.27,-0.0130056,-0.100813,0.0130056,
3.28,-0.0140137,-0.100683,0.0140137,
3.29,-0.0150205,-0.100543,0.0150205,
3.3,-0.016026,-0.100393,0.016026,
3.31,-0.0170299,-0.100232,0.0170299,
